time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb
1900-01-01 13:58:15,7883.5,6186,7884.5,420455,46554,364874,-318320,-414269
1900-01-01 13:58:30,7880.0,379105,7880.5,20075,350145,618042,-267897,359030
1900-01-01 13:58:45,7894.5,962291,7895.0,10987,1597556,267792,1329764,951304
1900-01-01 13:59:00,7892.0,935150,7892.5,631,924367,181227,743140,934519
1900-01-01 13:59:15,7892.5,81303,7893.0,1151,1336402,222956,1113446,80152
1900-01-01 13:59:30,7902.0,472435,7902.5,7392,822264,30044,792220,465043
1900-01-01 13:59:45,7895.0,448436,7895.5,142338,226193,421463,-195270,306098
1900-01-01 14:00:00,7896.0,1568301,7896.5,847,79799,23610,56189,1567454
1900-01-01 14:00:15,7894.5,33086,7903.0,10000,255259,290216,-34957,23086
1900-01-01 14:00:30,7900.0,158429,7900.5,545455,389883,137266,252617,-387026
1900-01-01 14:00:45,7904.5,703219,7905.0,108359,132420,921117,-788697,594860
1900-01-01 14:01:00,7911.5,185124,7913.5,17203,1034076,75858,958218,167921
1900-01-01 14:01:15,7919.5,64071,7920.0,12008,754967,57491,697476,52063
1900-01-01 14:01:30,7928.0,10869,7928.5,5998,627452,243734,383718,4871
1900-01-01 14:01:45,7925.5,453006,7926.0,454973,208456,277316,-68860,-1967
1900-01-01 14:02:00,7925.5,328969,7926.0,820319,273466,258392,15074,-491350
1900-01-01 14:02:15,7922.0,552550,7922.5,291891,54024,120034,-66010,260659
1900-01-01 14:02:30,7922.0,538540,7922.5,921315,395440,306414,89026,-382775
1900-01-01 14:02:45,7922.0,399636,7922.5,723710,117870,49825,68045,-324074
1900-01-01 14:03:00,7917.5,9360,7918.0,70,102197,539511,-437314,9290
1900-01-01 14:03:15,7918.5,602026,7919.0,152112,256905,91492,165413,449914
1900-01-01 14:03:30,7922.0,869388,7922.5,22132,105122,58670,46452,847256
1900-01-01 14:03:45,7926.5,1129480,7927.0,4023,211374,175879,35495,1125457
1900-01-01 14:04:00,7929.5,1109198,7930.0,59124,157506,24848,132658,1050074
1900-01-01 14:04:15,7936.0,952409,7937.0,2516,258126,187458,70668,949893
1900-01-01 14:04:30,7927.0,15050,7927.5,425842,163453,602234,-438781,-410792
1900-01-01 14:04:45,7932.0,379451,7932.5,2609,191028,92158,98870,376842
1900-01-01 14:05:00,7934.0,21068,7934.5,649207,75456,26230,49226,-628139
1900-01-01 14:05:15,7931.0,770697,7931.5,28779,84626,365072,-280446,741918
1900-01-01 14:05:30,7933.0,194186,7933.5,481265,157009,10142,146867,-287079
1900-01-01 14:05:45,7933.0,199049,7933.5,457724,48170,131569,-83399,-258675
1900-01-01 14:06:00,7930.0,111419,7930.5,717515,99358,109011,-9653,-606096
1900-01-01 14:06:15,7928.0,303102,7928.5,354175,13439,129283,-115844,-51073
1900-01-01 14:06:30,7929.0,83366,7929.5,479381,165290,18782,146508,-396015
1900-01-01 14:06:45,7929.0,573062,7929.5,14751,30799,17866,12933,558311
1900-01-01 14:07:00,7929.0,62979,7929.5,440981,84121,42386,41735,-378002
1900-01-01 14:07:15,7922.5,254862,7923.0,70269,22926,348477,-325551,184593
1900-01-01 14:07:30,7917.0,44333,7917.5,431357,101858,405549,-303691,-387024
1900-01-01 14:07:45,7917.0,516894,7917.5,509424,112820,229314,-116494,7470
1900-01-01 14:08:00,7918.5,333874,7919.0,380890,228371,14456,213915,-47016
1900-01-01 14:08:15,7918.5,1660470,7919.0,13148,56014,42308,13706,1647322
1900-01-01 14:08:30,7923.5,655605,7924.0,25383,311726,11002,300724,630222
1900-01-01 14:08:45,7923.5,1428117,7924.0,147018,65077,107902,-42825,1281099
1900-01-01 14:09:00,7923.5,1117006,7924.0,61380,133750,24100,109650,1055626
1900-01-01 14:09:15,7923.5,513031,7924.0,401261,61020,12100,48920,111770
1900-01-01 14:09:30,7923.5,286710,7924.0,381722,20133,8648,11485,-95012
1900-01-01 14:09:45,7920.0,61619,7920.5,691469,94706,91631,3075,-629850
1900-01-01 14:10:00,7915.0,402000,7915.5,540084,79474,111136,-31662,-138084
1900-01-01 14:10:15,7915.0,1270783,7915.5,20421,38647,129052,-90405,1250362
1900-01-01 14:10:30,7919.5,704866,7920.0,40432,29646,45588,-15942,664434
1900-01-01 14:10:45,7923.5,713215,7924.0,447960,37873,800,37073,265255
1900-01-01 14:11:00,7923.5,784980,7924.0,512704,41478,36097,5381,272276
1900-01-01 14:11:15,7925.5,284007,7926.0,29949,368051,240569,127482,254058
1900-01-01 14:11:30,7929.5,266681,7930.0,335606,243344,2606,240738,-68925
1900-01-01 14:11:45,7932.5,908894,7933.0,138715,931682,7263,924419,770179
1900-01-01 14:12:00,7937.5,1056036,7938.0,33282,323886,30383,293503,1022754
1900-01-01 14:12:15,7939.5,962029,7940.0,53904,726911,51410,675501,908125
1900-01-01 14:12:30,7947.5,1354121,7948.0,22850,342539,23450,319089,1331271
1900-01-01 14:12:45,7943.5,400993,7944.0,305517,338323,248273,90050,95476
1900-01-01 14:13:00,7939.0,229543,7939.5,140149,83733,150641,-66908,89394
1900-01-01 14:13:15,7940.0,51936,7940.5,11349,82685,59505,23180,40587
1900-01-01 14:13:30,7940.0,571684,7940.5,73971,188412,87308,101104,497713
1900-01-01 14:13:45,7943.5,533979,7944.0,110305,474984,64602,410382,423674
1900-01-01 14:14:00,7943.5,996316,7944.0,165,134684,72656,62028,996151
1900-01-01 14:14:15,7947.5,11862,7948.0,899003,77442,48612,28830,-887141
1900-01-01 14:14:30,7949.5,41522,7950.0,706114,78557,46340,32217,-664592
1900-01-01 14:14:45,7941.0,89451,7941.5,793832,97597,193710,-96113,-704381
1900-01-01 14:15:00,7936.0,620791,7936.5,63347,52653,342005,-289352,557444
1900-01-01 14:15:15,7941.5,20161,7942.0,325045,78253,93350,-15097,-304884
1900-01-01 14:15:30,7945.0,261520,7945.5,52576,34387,86029,-51642,208944
1900-01-01 14:15:45,7953.5,367170,7954.0,398875,151354,112798,38556,-31705
1900-01-01 14:16:00,7947.0,300199,7947.5,406380,69109,446263,-377154,-106181
1900-01-01 14:16:15,7947.0,642618,7947.5,182190,72781,72878,-97,460428
1900-01-01 14:16:30,7947.0,181205,7947.5,690736,26878,9327,17551,-509531
1900-01-01 14:16:45,7947.0,696604,7947.5,1584715,49360,83420,-34060,-888111
1900-01-01 14:17:00,7940.0,112648,7943.0,437549,39498,113789,-74291,-324901
1900-01-01 14:17:15,7938.0,165692,7938.5,680420,37694,106291,-68597,-514728
1900-01-01 14:17:30,7938.0,628382,7938.5,243588,70736,16962,53774,384794
1900-01-01 14:17:45,7938.0,582710,7938.5,217925,29543,7656,21887,364785
1900-01-01 14:18:00,7939.5,572123,7940.0,1357882,53339,217966,-164627,-785759
1900-01-01 14:18:15,7939.5,721870,7940.0,1450684,23552,1600,21952,-728814
1900-01-01 14:18:30,7936.0,3874,7936.5,1288936,94685,163931,-69246,-1285062
1900-01-01 14:18:45,7934.0,1039016,7934.5,20256,29549,92802,-63253,1018760
1900-01-01 14:19:00,7937.0,204995,7937.5,473632,292761,39040,253721,-268637
1900-01-01 14:19:15,7937.0,68236,7937.5,1124662,21838,179078,-157240,-1056426
1900-01-01 14:19:30,7939.5,811911,7940.0,898329,828661,11743,816918,-86418
1900-01-01 14:19:45,7939.5,1510519,7940.0,78990,834191,17844,816347,1431529
1900-01-01 14:20:00,7944.0,510454,7944.5,673838,116579,5064,111515,-163384
1900-01-01 14:20:15,7944.5,778814,7945.0,31897,129975,8425,121550,746917
1900-01-01 14:20:30,7944.5,226981,7945.0,603928,39082,17793,21289,-376947
1900-01-01 14:20:45,7944.5,1247369,7945.0,89758,105691,11998,93693,1157611
1900-01-01 14:21:00,7944.5,819400,7945.0,131018,57872,2290,55582,688382
1900-01-01 14:21:15,7944.5,389781,7945.0,678647,32720,41778,-9058,-288866
1900-01-01 14:21:30,7940.0,66554,7940.5,817905,25668,293970,-268302,-751351
1900-01-01 14:21:45,7939.5,976675,7940.0,122374,122508,57380,65128,854301
1900-01-01 14:22:00,7939.5,1148449,7940.0,170071,265386,37562,227824,978378
1900-01-01 14:22:15,7940.0,950841,7940.5,3270,57723,32746,24977,947571
1900-01-01 14:22:30,7943.0,757958,7943.5,186487,17484,1100,16384,571471
1900-01-01 14:22:45,7944.0,1010284,7944.5,773621,177063,4322,172741,236663
1900-01-01 14:23:00,7944.0,909838,7944.5,670623,284091,24287,259804,239215
1900-01-01 14:23:15,7944.0,883410,7944.5,619477,14678,14621,57,263933
1900-01-01 14:23:30,7944.0,1099102,7944.5,494205,41685,202,41483,604897
1900-01-01 14:23:45,7944.0,1055456,7944.5,549858,23029,6004,17025,505598
1900-01-01 14:24:00,7944.0,1482686,7944.5,160760,38568,32940,5628,1321926
1900-01-01 14:24:15,7946.0,932383,7946.5,63914,95598,40349,55249,868469
1900-01-01 14:24:30,7946.5,179341,7947.0,773673,127451,4046,123405,-594332
1900-01-01 14:24:45,7946.5,134084,7947.0,875583,97446,34114,63332,-741499
1900-01-01 14:25:00,7946.5,88642,7947.0,946901,4130,25800,-21670,-858259
1900-01-01 14:25:15,7946.5,124117,7947.0,568781,174181,64376,109805,-444664
1900-01-01 14:25:30,7946.5,1143315,7947.0,705353,305861,1224,304637,437962
1900-01-01 14:25:45,7946.5,333227,7947.0,985672,94390,7284,87106,-652445
1900-01-01 14:26:00,7946.5,448032,7947.0,1024217,28222,4538,23684,-576185
1900-01-01 14:26:15,7946.5,1038924,7947.0,736744,12143,88008,-75865,302180
1900-01-01 14:26:30,7946.5,1183563,7947.0,752393,11848,4970,6878,431170
1900-01-01 14:26:45,7946.5,1943546,7947.0,561471,135714,2000,133714,1382075
1900-01-01 14:27:00,7948.5,2000032,7949.0,70489,351330,54000,297330,1929543
1900-01-01 14:27:15,7951.5,1657205,7952.0,34834,285593,5488,280105,1622371
1900-01-01 14:27:30,7954.0,1152285,7954.5,35825,138255,7900,130355,1116460
1900-01-01 14:27:45,7951.0,1578,7951.5,735965,77086,264212,-187126,-734387
1900-01-01 14:28:00,7948.0,143232,7948.5,674396,172422,220870,-48448,-531164
1900-01-01 14:28:15,7947.5,9457,7948.0,691397,22664,109353,-86689,-681940
1900-01-01 14:28:30,7945.5,520,7946.0,724943,57000,54386,2614,-724423
1900-01-01 14:28:45,7945.0,26532,7945.5,1014503,10836,46475,-35639,-987971
1900-01-01 14:29:00,7934.0,94576,7934.5,53210,31012,1421403,-1390391,41366
1900-01-01 14:29:15,7934.0,945656,7934.5,299065,138044,107890,30154,646591
1900-01-01 14:29:30,7937.5,481108,7938.0,70910,59840,46635,13205,410198
1900-01-01 14:29:45,7935.0,472258,7935.5,199875,12513,108657,-96144,272383
1900-01-01 14:30:00,7935.0,801053,7935.5,242731,77661,12782,64879,558322
1900-01-01 14:30:15,7935.0,1113487,7935.5,6223,128988,7226,121762,1107264
1900-01-01 14:30:30,7935.5,1181148,7936.0,34129,14263,67099,-52836,1147019
1900-01-01 14:30:45,7936.5,607439,7937.0,155794,39735,16932,22803,451645
1900-01-01 14:31:00,7936.5,145157,7937.0,493703,116110,35599,80511,-348546
1900-01-01 14:31:15,7935.5,1743,7936.0,82071,189626,78727,110899,-80328
1900-01-01 14:31:30,7935.0,79980,7935.5,615086,8324,41444,-33120,-535106
1900-01-01 14:31:45,7935.0,102938,7935.5,569459,39440,23900,15540,-466521
1900-01-01 14:32:00,7935.0,1315744,7935.5,288429,10122,29881,-19759,1027315
1900-01-01 14:32:15,7935.0,1689566,7935.5,47778,74412,8716,65696,1641788
1900-01-01 14:32:30,7941.5,437024,7942.0,39264,117103,1800,115303,397760
1900-01-01 14:32:45,7943.0,317546,7943.5,351549,46257,11650,34607,-34003
1900-01-01 14:33:00,7943.0,963397,7943.5,90750,48025,10248,37777,872647
1900-01-01 14:33:15,7943.0,978477,7943.5,45847,19956,235,19721,932630
1900-01-01 14:33:30,7943.0,924173,7943.5,24021,23776,4032,19744,900152
1900-01-01 14:33:45,7943.0,434648,7943.5,228696,11126,153334,-142208,205952
1900-01-01 14:34:00,7942.0,31,7942.5,597034,133197,107199,25998,-597003
1900-01-01 14:34:15,7936.0,446043,7936.5,112958,41938,74780,-32842,333085
1900-01-01 14:34:30,7935.0,179524,7935.5,440287,4164,67517,-63353,-260763
1900-01-01 14:34:45,7935.0,65559,7935.5,1237144,5501,254709,-249208,-1171585
1900-01-01 14:35:00,7933.0,80082,7933.5,961244,7964,226174,-218210,-881162
1900-01-01 14:35:15,7929.5,266591,7930.0,807747,10814,576028,-565214,-541156
1900-01-01 14:35:30,7929.5,89271,7930.0,1061429,18032,194294,-176262,-972158
1900-01-01 14:35:45,7924.5,1175889,7925.0,91842,67679,286368,-218689,1084047
1900-01-01 14:36:00,7925.5,125431,7926.0,456904,146282,283979,-137697,-331473
1900-01-01 14:36:15,7924.0,2963,7924.5,1001050,79826,197566,-117740,-998087
1900-01-01 14:36:30,7920.0,442349,7920.5,599044,40900,190816,-149916,-156695
1900-01-01 14:36:45,7920.0,1193898,7920.5,31239,126730,511164,-384434,1162659
